player_id,player_name,from_team_id,to_team_id,season
PLY_0708,Nishant Sindhu,,IPL_T20_CSK,2023
PLY_0708,Nishant Sindhu,IPL_T20_CSK,IPL_T20_LSG,2025
PLY_0708,Nishant Sindhu,IPL_T20_LSG,IPL_T20_GT,2026
PLY_0709,Ashok Sharma,,IPL_T20_KKR,2022
PLY_0709,Ashok Sharma,IPL_T20_KKR,IPL_T20_LSG,2025
PLY_0709,Ashok Sharma,IPL_T20_LSG,IPL_T20_GT,2026
PLY_0710,Gurnoor Brar,,IPL_T20_PBKS,2023
PLY_0710,Gurnoor Brar,IPL_T20_PBKS,IPL_T20_GT,2024
PLY_0710,Gurnoor Brar,IPL_T20_GT,IPL_T20_LSG,2025
PLY_0710,Gurnoor Brar,IPL_T20_LSG,IPL_T20_GT,2026
PLY_0711,Kulwant Khejroliya,,IPL_T20_MI,2017
PLY_0711,Kulwant Khejroliya,IPL_T20_MI,IPL_T20_RCB,2018
PLY_0711,Kulwant Khejroliya,IPL_T20_RCB,IPL_T20_DC,2021
PLY_0711,Kulwant Khejroliya,IPL_T20_DC,IPL_T20_KKR,2023
PLY_0711,Kulwant Khejroliya,IPL_T20_KKR,IPL_T20_LSG,2025
PLY_0711,Kulwant Khejroliya,IPL_T20_LSG,IPL_T20_GT,2026
PLY_0712,Finn Allen,,IPL_T20_RCB,2021
PLY_0712,Finn Allen,IPL_T20_RCB,IPL_T20_LSG,2025
PLY_0712,Finn Allen,IPL_T20_LSG,IPL_T20_KKR,2026
PLY_0713,Tejasvi Dahiya,,IPL_T20_LSG,2025
PLY_0713,Tejasvi Dahiya,IPL_T20_LSG,IPL_T20_KKR,2026
