player_id,player_name,nationality,batting_style,bowling_style,role,is_overseas,current_team_id,photo_url
PLY_0440,Prabhsimran Singh,India,Right-hand,,Wicketkeeper,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Prabhsimran%20Singh.png
PLY_0669,Vishnu Vinod,India,Right-hand,,Wicketkeeper,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Vishnu%20Vinod.png
PLY_0411,Nehal Wadhera,India,Left-hand,Right-arm off-spin,Batter,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Nehal%20Wadhera.png
PLY_0094,Azmatullah Omarzai,Overseas,Right-hand,Right-arm fast,Allrounder,1,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Azmatullah%20Omarzai.png
PLY_0737,Cooper Connolly,Overseas,Left-hand,Right-arm off-spin,Allrounder,1,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Cooper%20Connolly.png
PLY_0351,Marco Jansen,Overseas,Left-hand,Left-arm fast,Allrounder,1,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Marco%20Jansen.png
PLY_0738,Musheer Khan,India,Left-hand,Right-arm off-spin,Allrounder,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Musheer%20Khan.png
PLY_0352,Marcus Stoinis,Overseas,Right-hand,Right-arm fast,Allrounder,1,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png
PLY_0611,Suryansh Shedge,India,Right-hand,Right-arm off-spin,Allrounder,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Suryansh%20Shedge.png
PLY_0076,Arshdeep Singh,India,Left-hand,Left-arm fast,Bowler,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Arshdeep%20Singh.png
PLY_0680,Xavier Bartlett,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Xavier%20Bartlett.png
PLY_0693,Yuzvendra Chahal,India,Right-hand,Right-arm leg-spin,Bowler,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Yuzvendra%20Chahal.png
PLY_0446,Praveen Dubey,India,Right-hand,Right-arm leg-spin,Bowler,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Praveen%20Dubey.png
PLY_0739,Ben Dwarshuis,Overseas,Left-hand,Left-arm fast,Bowler,1,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Ben%20Dwarshuis.png
PLY_0328,Lockie Ferguson,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Lockie%20Ferguson.png
PLY_0218,Harpreet Brar,India,Left-hand,Left-arm off-spin,Bowler,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Harpreet%20Brar.png
PLY_0740,Vishal Nishad,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Vishal%20Nishad.png
